              t             x1             y1             x2             y2
           1.02      -0.490269      -0.871571       -1.32647          -1.42
           1.03      -0.542684      -0.839937       -1.37247       -1.39802
           1.04      -0.594194      -0.804321        -1.4154       -1.37495
           1.05       -0.64431      -0.764765       -1.45485       -1.35045
           1.06      -0.692445       -0.72147       -1.49044       -1.32413
           1.07      -0.737953      -0.674852       -1.52191       -1.29567
           1.08      -0.780193      -0.625539       -1.54914       -1.26485
           1.09      -0.818635      -0.574314       -1.57228        -1.2316
            1.1       -0.85294      -0.522009       -1.59164       -1.19604
           1.11      -0.882993      -0.469387        -1.6077       -1.15845
           1.12      -0.908873      -0.417073       -1.62095       -1.11918
           1.13      -0.930798      -0.365533       -1.63189       -1.07861
           1.14      -0.949062      -0.315091       -1.64094       -1.03711
           1.15      -0.963985      -0.265958       -1.64846      -0.994992
           1.16      -0.975888       -0.21827       -1.65475      -0.952539
           1.17      -0.985079      -0.172104       -1.66002      -0.909975
           1.18      -0.991838      -0.127505       -1.66446      -0.867486
           1.19      -0.996424     -0.0844912       -1.66822      -0.825224
            1.2      -0.999072     -0.0430679       -1.67141      -0.783313
           1.21      -0.999995    -0.00322853       -1.67411      -0.741851
           1.22      -0.999386      0.0350402       -1.67641      -0.700922
           1.23      -0.997422      0.0717568       -1.67835      -0.660592
           1.24      -0.994265       0.106943       -1.67999      -0.620916
           1.25      -0.990063       0.140624       -1.68137       -0.58194
           1.26      -0.984952       0.172828       -1.68251      -0.543702
           1.27      -0.979058       0.203584       -1.68344      -0.506233
           1.28      -0.972495       0.232922        -1.6842       -0.46956
           1.29      -0.965372       0.260878       -1.68478      -0.433706
            1.3      -0.957786       0.287484       -1.68522      -0.398689
           1.31      -0.949827       0.312776       -1.68553      -0.364528
           1.32      -0.941579       0.336791       -1.68572      -0.331236
           1.33      -0.933119       0.359567       -1.68579      -0.298828
           1.34      -0.924517       0.381141       -1.68577      -0.267314
           1.35      -0.915836       0.401553       -1.68566      -0.236705
           1.36      -0.907135        0.42084       -1.68547      -0.207011
           1.37      -0.898466       0.439042       -1.68521      -0.178241
           1.38      -0.889878       0.456198       -1.68488      -0.150404
           1.39      -0.881413       0.472346       -1.68451      -0.123507
            1.4       -0.87311       0.487523       -1.68409     -0.0975576
           1.41      -0.865003       0.501766       -1.68363      -0.072563
           1.42      -0.857123       0.515112       -1.68314     -0.0485297
           1.43      -0.849496       0.527596       -1.68264     -0.0254641
           1.44      -0.842145       0.539251       -1.68212    -0.00337211
           1.45      -0.835091       0.550112        -1.6816      0.0177406
           1.46      -0.828352       0.560208       -1.68109      0.0378686
           1.47      -0.821942       0.569572       -1.68059      0.0570068
           1.48      -0.815874        0.57823       -1.68011      0.0751506
           1.49      -0.810159        0.58621       -1.67967      0.0922954
            1.5      -0.804806       0.593539       -1.67926       0.108437
           1.51      -0.799821       0.600239        -1.6789       0.123571
           1.52       -0.79521       0.606334        -1.6786       0.137695
           1.53      -0.790979       0.611844       -1.67836       0.150805
           1.54      -0.787129       0.616788       -1.67819       0.162897
           1.55      -0.783664       0.621185       -1.67809        0.17397
           1.56      -0.780585        0.62505       -1.67808        0.18402
           1.57      -0.777893       0.628396       -1.67815       0.193046
           1.58      -0.775589       0.631238       -1.67833       0.201044
           1.59      -0.773672       0.633587        -1.6786       0.208014
            1.6      -0.772142        0.63545       -1.67897       0.213954
           1.61      -0.770998       0.636838       -1.67946       0.218862
           1.62      -0.770239       0.637755       -1.68005       0.222737
           1.63      -0.769865       0.638207       -1.68076       0.225579
           1.64      -0.769873       0.638197       -1.68159       0.227387
           1.65      -0.770264       0.637726       -1.68254       0.228159
           1.66      -0.771034       0.636794       -1.68361       0.227897
           1.67      -0.772183       0.635401       -1.68481       0.226599
           1.68      -0.773709       0.633542       -1.68612       0.224265
           1.69       -0.77561       0.631213       -1.68755       0.220897
            1.7      -0.777884       0.628408       -1.68911       0.216493
           1.71      -0.780529        0.62512       -1.69078       0.211056
           1.72      -0.783543       0.621338       -1.69256       0.204585
           1.73      -0.786922       0.617052       -1.69446       0.197082
           1.74      -0.790665       0.612249       -1.69647       0.188548
           1.75      -0.794766       0.606916       -1.69858       0.178984
           1.76      -0.799222       0.601036       -1.70079       0.168392
           1.77      -0.804027       0.594593       -1.70309       0.156773
           1.78      -0.809175       0.587567       -1.70548       0.144131
           1.79       -0.81466       0.579938       -1.70796       0.130467
            1.8      -0.820474       0.571684       -1.71051       0.115785
           1.81      -0.826606       0.562781       -1.71312       0.100086
           1.82      -0.833045       0.553205        -1.7158      0.0833743
           1.83      -0.839779       0.542928       -1.71853      0.0656534
           1.84      -0.846793       0.531922       -1.72131      0.0469272
           1.85       -0.85407       0.520157       -1.72412      0.0271999
           1.86      -0.861591       0.507603       -1.72696     0.00647598
           1.87      -0.869333       0.494227       -1.72982     -0.0152394
           1.88      -0.877271       0.479995       -1.73269     -0.0379409
           1.89      -0.885378       0.464872       -1.73556     -0.0616224
            1.9      -0.893621       0.448822       -1.73841     -0.0862776
           1.91      -0.901966       0.431807       -1.74124      -0.111899
           1.92      -0.910373       0.413789       -1.74404       -0.13848
           1.93      -0.918797        0.39473       -1.74679       -0.16601
           1.94      -0.927191       0.374589       -1.74948      -0.194482
           1.95      -0.935501       0.353325        -1.7521      -0.223883
           1.96      -0.943666       0.330899       -1.75463      -0.254203
           1.97      -0.951623       0.307268       -1.75705      -0.285427
           1.98      -0.959299       0.282391       -1.75935      -0.317542
           1.99      -0.966617       0.256227        -1.7615      -0.350529
              2      -0.973489       0.228734       -1.76349      -0.384369
           2.01      -0.979822       0.199871       -1.76528      -0.419038
           2.02      -0.985513       0.169598       -1.76685      -0.454511
           2.03       -0.99045       0.137876       -1.76815      -0.490754
           2.04      -0.994508       0.104665       -1.76915      -0.527732
           2.05      -0.997552      0.0699297       -1.76979      -0.565399
           2.06      -0.999434      0.0336361       -1.77002      -0.603704
           2.07      -0.999991     -0.0042459       -1.76975      -0.642582
           2.08      -0.999043     -0.0437403        -1.7689      -0.681959
           2.09      -0.996393     -0.0848628       -1.76735      -0.721744
            2.1      -0.991824      -0.127616       -1.76498      -0.761826
           2.11        -0.9851      -0.171984       -1.76162      -0.802075
           2.12      -0.975966      -0.217922       -1.75706      -0.842334
           2.13      -0.964154      -0.265345       -1.75106      -0.882421
           2.14      -0.949387      -0.314108       -1.74331      -0.922125
           2.15      -0.931404      -0.363986       -1.73348      -0.961213
           2.16      -0.909978      -0.414656       -1.72117       -0.99944
           2.17      -0.884957      -0.465673       -1.70598       -1.03657
           2.18      -0.856299      -0.516481       -1.68752       -1.07242
           2.19      -0.824103       -0.56644        -1.6655       -1.10686
            2.2      -0.788614      -0.614889       -1.63972       -1.13987
           2.21      -0.750195      -0.661217       -1.61018       -1.17154
           2.22      -0.709278      -0.704929       -1.57698       -1.20202
           2.23      -0.666309      -0.745675       -1.54036       -1.23152
           2.24      -0.621712      -0.783246       -1.50061       -1.26026
           2.25      -0.575865      -0.817545       -1.45805       -1.28845
           2.26      -0.529097      -0.848561       -1.41298       -1.31628
           2.27      -0.481696      -0.876338       -1.36566        -1.3439
           2.28      -0.433916      -0.900953       -1.31632       -1.37144
           2.29      -0.385986      -0.922505       -1.26517       -1.39898
            2.3      -0.338123      -0.941102       -1.21235       -1.42661
           2.31       -0.29053      -0.956866         -1.158       -1.45436
           2.32      -0.243408      -0.969924       -1.10219       -1.48226
           2.33      -0.196955      -0.980412       -1.04501       -1.51032
           2.34      -0.151367      -0.988478      -0.986496       -1.53853
           2.35       -0.10684      -0.994276      -0.926682       -1.56687
           2.36     -0.0635667      -0.997978      -0.865582       -1.59528
           2.37     -0.0217385      -0.999764      -0.803197       -1.62372
           2.38      0.0184576       -0.99983      -0.739522       -1.65211
           2.39      0.0568405      -0.998383       -0.67454       -1.68035
            2.4       0.093236      -0.995644      -0.608235       -1.70834
           2.41       0.127478      -0.991841      -0.540586       -1.73594
           2.42       0.159411      -0.987212      -0.471574       -1.76301
           2.43       0.188886      -0.981999      -0.401182       -1.78935
           2.44       0.215765      -0.976445      -0.329401       -1.81477
           2.45        0.23992      -0.970793      -0.256228       -1.83903
           2.46       0.261227      -0.965277      -0.181674       -1.86185
           2.47       0.279573      -0.960124      -0.105768        -1.8829
           2.48        0.29485      -0.955543      -0.028561        -1.9018
           2.49       0.306963      -0.951721      0.0498636       -1.91811
            2.5       0.315835      -0.948814       0.129376       -1.93128
           2.51       0.321428      -0.946934       0.209779       -1.94068
           2.52       0.323772      -0.946135       0.290787       -1.94559
           2.53       0.323016      -0.946393        0.37199       -1.94519
           2.54       0.319492      -0.947589        0.45283       -1.93866
           2.55       0.313777      -0.949497       0.532603       -1.92526
           2.56       0.306707      -0.951804       0.610506       -1.90454
           2.57         0.2993      -0.954159       0.685753       -1.87647
           2.58       0.292593      -0.956237       0.757702       -1.84149
           2.59       0.287473      -0.957789       0.825951       -1.80043
            2.6       0.284565      -0.958657       0.890346       -1.75429
           2.61       0.284234      -0.958755       0.950921       -1.70409
           2.62       0.286628      -0.958042        1.00783       -1.65076
           2.63       0.291752      -0.956494        1.06129       -1.59509
           2.64       0.299515      -0.954092        1.11154       -1.53772
           2.65       0.309775       -0.95081         1.1588       -1.47917
           2.66        0.32236      -0.946617        1.20328       -1.41988
           2.67       0.337081      -0.941476         1.2452       -1.36018
           2.68       0.353745      -0.935342        1.28475       -1.30036
           2.69       0.372154      -0.928171        1.32208       -1.24066
            2.7       0.392108      -0.919919        1.35736       -1.18125
           2.71       0.413412      -0.910544        1.39073       -1.12232
           2.72        0.43587      -0.900009        1.42234       -1.06397
           2.73       0.459291      -0.888286         1.4523       -1.00634
           2.74       0.483488      -0.875351        1.48073      -0.949501
           2.75       0.508277      -0.861193        1.50775      -0.893538
           2.76       0.533485       -0.84581        1.53346      -0.838513
           2.77       0.558941      -0.829208        1.55794      -0.784476
           2.78       0.584485      -0.811404        1.58129      -0.731471
           2.79       0.609967      -0.792426        1.60357      -0.679531
            2.8       0.635246       -0.77231        1.62488      -0.628684
           2.81        0.66019      -0.751098        1.64526       -0.57895
           2.82       0.684681      -0.728843        1.66478      -0.530348
           2.83       0.708609      -0.705602        1.68349      -0.482891
           2.84       0.731877      -0.681436        1.70144      -0.436589
           2.85       0.754401      -0.656414        1.71866      -0.391451
           2.86       0.776105      -0.630604        1.73519      -0.347484
           2.87       0.796925      -0.604079        1.75106      -0.304693
           2.88       0.816806      -0.576912        1.76629      -0.263083
           2.89       0.835706      -0.549177         1.7809      -0.222658
            2.9       0.853588      -0.520949         1.7949      -0.183423
           2.91       0.870426        -0.4923        1.80832       -0.14538
           2.92         0.8862      -0.463303        1.82115      -0.108534
           2.93       0.900899      -0.434029        1.83341     -0.0728881
           2.94       0.914516       -0.40455        1.84509     -0.0384459
           2.95       0.927053      -0.374931         1.8562     -0.0052109
           2.96       0.938514      -0.345242        1.86672      0.0268136
           2.97        0.94891      -0.315547        1.87667      0.0576246
           2.98       0.958256      -0.285911        1.88604      0.0872194
           2.99       0.966572      -0.256396        1.89481       0.115596
              3       0.973879      -0.227066        1.90298       0.142752
           3.01       0.980206       -0.19798        1.91056       0.168688
           3.02       0.985582      -0.169201        1.91752       0.193403
           3.03        0.99004      -0.140788        1.92388         0.2169
           3.04       0.993617      -0.112802        1.92962       0.239181
           3.05       0.996355     -0.0853014        1.93475       0.260251
           3.06       0.998296     -0.0583451        1.93928       0.280116
           3.07       0.999488     -0.0319905         1.9432       0.298784
           3.08        0.99998    -0.00629358        1.94653       0.316264
           3.09       0.999825      0.0186919        1.94929       0.332568
            3.1       0.999079       0.042915         1.9515       0.347709
           3.11       0.997798      0.0663286        1.95318       0.361701
           3.12       0.996041      0.0888898        1.95437       0.374559
           3.13       0.993869       0.110561         1.9551         0.3863
           3.14       0.991341        0.13131        1.95542        0.39694
           3.15       0.988517        0.15111        1.95536       0.406495
           3.16       0.985454       0.169943        1.95497       0.414983
           3.17       0.982209       0.187794        1.95429       0.422418
           3.18       0.978834       0.204655        1.95339       0.428814
           3.19       0.975381       0.220525        1.95229       0.434187
            3.2       0.971897       0.235406        1.95105       0.438546
           3.21       0.968425       0.249304         1.9497       0.441903
           3.22       0.965005        0.26223         1.9483       0.444268
           3.23       0.961674       0.274197        1.94687       0.445646
           3.24       0.958463       0.285218        1.94545       0.446045
           3.25       0.955401        0.29531        1.94406       0.445469
           3.26       0.952516        0.30449        1.94275       0.443923
           3.27       0.949828       0.312773        1.94152       0.441408
           3.28       0.947358       0.320176         1.9404       0.437925
           3.29       0.945123       0.326714        1.93941       0.433477
            3.3       0.943138       0.332401        1.93855       0.428062
           3.31       0.941415        0.33725        1.93784       0.421681
           3.32       0.939965       0.341272        1.93729       0.414332
           3.33       0.938795       0.344477         1.9369       0.406013
           3.34       0.937913       0.346872        1.93667       0.396724
           3.35       0.937322       0.348463         1.9366       0.386461
           3.36       0.937028       0.349254        1.93669       0.375224
           3.37       0.937031       0.349247        1.93694        0.36301
           3.38       0.937331        0.34844        1.93733       0.349816
           3.39       0.937927       0.346832        1.93786       0.335642
            3.4       0.938817       0.344417        1.93853       0.320486
           3.41       0.939994        0.34119        1.93932       0.304345
           3.42       0.941454       0.337141        1.94021        0.28722
           3.43       0.943188       0.332259        1.94119       0.269109
           3.44       0.945186       0.326533        1.94225       0.250012
           3.45       0.947436       0.319946        1.94338        0.22993
           3.46       0.949924       0.312482        1.94454       0.208863
           3.47       0.952633       0.304124        1.94573       0.186813
           3.48       0.955544        0.29485        1.94692       0.163781
           3.49       0.958635       0.284639        1.94809       0.139771
            3.5       0.961881       0.273467        1.94921       0.114787
           3.51       0.965255        0.26131        1.95027      0.0888322
           3.52       0.968724       0.248141        1.95123      0.0619135
           3.53       0.972252       0.233934        1.95207      0.0340372
           3.54       0.975801        0.21866        1.95276     0.00521118
           3.55       0.979326        0.20229        1.95326     -0.0245553
           3.56       0.982777       0.184796        1.95354     -0.0552517
           3.57       0.986101       0.166149        1.95356     -0.0868655
           3.58       0.989237       0.146319        1.95329      -0.119383
           3.59       0.992121        0.12528        1.95268      -0.152788
            3.6       0.994681       0.103006        1.95169      -0.187062
           3.61       0.996837      0.0794724        1.95025      -0.222184
           3.62       0.998505      0.0546589        1.94833      -0.258131
           3.63       0.999592      0.0285491        1.94585      -0.294876
           3.64       0.999999     0.00113221        1.94274       -0.33239
           3.65       0.999619     -0.0275958        1.93894      -0.370637
           3.66       0.998338     -0.0576301        1.93436       -0.40958
           3.67       0.996036     -0.0889549         1.9289      -0.449176
           3.68       0.992586      -0.121541        1.92248      -0.489378
           3.69        0.98786      -0.155344        1.91497      -0.530133
            3.7       0.981726      -0.190299        1.90627      -0.571385
           3.71       0.974053      -0.226319        1.89624      -0.613072
           3.72       0.964715      -0.263295        1.88475      -0.655129
           3.73       0.953597      -0.301087        1.87167      -0.697489
           3.74       0.940595      -0.339531        1.85687      -0.740084
           3.75       0.925629      -0.378432         1.8402      -0.782847
           3.76       0.908643      -0.417574        1.82156      -0.825716
           3.77        0.88961       -0.45672        1.80083      -0.868634
           3.78       0.868539      -0.495621        1.77794      -0.911552
           3.79        0.84547      -0.534023        1.75281       -0.95443
            3.8       0.820476      -0.571682        1.72541      -0.997238
           3.81       0.793659      -0.608362        1.69573       -1.03995
           3.82       0.765149      -0.643853        1.66378       -1.08256
           3.83       0.735093      -0.677967        1.62958       -1.12506
           3.84       0.703653      -0.710544        1.59318       -1.16743
           3.85       0.671004      -0.741454        1.55462       -1.20967
           3.86       0.637327      -0.770594        1.51395       -1.25178
           3.87       0.602808      -0.797887        1.47122       -1.29374
           3.88       0.567636       -0.82328        1.42647       -1.33553
           3.89       0.532002      -0.846743        1.37976       -1.37712
            3.9       0.496097      -0.868267        1.33112       -1.41849
           3.91       0.460113      -0.887861        1.28057       -1.45957
           3.92       0.424238      -0.905551        1.22813       -1.50033
           3.93       0.388663       -0.92138        1.17382       -1.54068
           3.94       0.353571      -0.935408        1.11764       -1.58054
           3.95       0.319144      -0.947706         1.0596       -1.61981
           3.96       0.285559      -0.958361       0.999702       -1.65836
           3.97       0.252983      -0.967471       0.937931       -1.69606
           3.98       0.221577      -0.975143       0.874287       -1.73275
           3.99       0.191489      -0.981495       0.808767       -1.76824
              4       0.162852       -0.98665       0.741374       -1.80232
           4.01       0.135783      -0.990739       0.672116       -1.83475
           4.02       0.110376       -0.99389       0.601018       -1.86525
           4.03      0.0866971      -0.996235       0.528118       -1.89353
           4.04      0.0647783        -0.9979       0.453483       -1.91926
           4.05      0.0446094      -0.999005       0.377207       -1.94207
           4.06       0.026128      -0.999659       0.299427       -1.96159
           4.07     0.00921074      -0.999958       0.220326       -1.97742
           4.08    -0.00633463       -0.99998       0.140142       -1.98919
           4.09      -0.020772      -0.999784      0.0591655       -1.99658
            4.1     -0.0344315      -0.999407     -0.0222591       -1.99933
           4.11     -0.0476941      -0.998862      -0.103753       -1.99729
           4.12     -0.0609661       -0.99814      -0.184921       -1.99043
           4.13     -0.0746481       -0.99721       -0.26538       -1.97885
           4.14     -0.0891052      -0.996022      -0.344778       -1.96279
           4.15      -0.104644       -0.99451      -0.422816       -1.94254
           4.16      -0.121501      -0.992591      -0.499253        -1.9185
           4.17      -0.139839      -0.990174      -0.573907       -1.89105
           4.18      -0.159753      -0.987157      -0.646651       -1.86062
           4.19       -0.18128      -0.983432        -0.7174       -1.82757
            4.2      -0.204407      -0.978886      -0.786106       -1.79229
           4.21      -0.229081      -0.973407      -0.852749        -1.7551
           4.22      -0.255218      -0.966883      -0.917327       -1.71629
           4.23      -0.282711      -0.959205      -0.979851       -1.67614
           4.24      -0.311431      -0.950269       -1.04034       -1.63488
           4.25      -0.341237      -0.939977       -1.09883       -1.59271
           4.26      -0.371975      -0.928243       -1.15533       -1.54981
           4.27      -0.403483      -0.914987       -1.20989       -1.50635
           4.28      -0.435594      -0.900143       -1.26252       -1.46245
           4.29      -0.468136      -0.883657       -1.31325       -1.41824
            4.3      -0.500935      -0.865485       -1.36209       -1.37382
           4.31      -0.533817        -0.8456       -1.40906       -1.32928
           4.32      -0.566609      -0.823987       -1.45417       -1.28468
           4.33      -0.599137      -0.800646       -1.49741       -1.24009
           4.34      -0.631234      -0.775593       -1.53877       -1.19557
           4.35      -0.662732      -0.748857       -1.57824       -1.15115
           4.36       -0.69347      -0.720486       -1.61581       -1.10688
           4.37      -0.723291      -0.690544       -1.65143       -1.06277
           4.38      -0.752043      -0.659114       -1.68509       -1.01886
           4.39      -0.779585      -0.626297       -1.71676      -0.975154
            4.4       -0.80578      -0.592215        -1.7464      -0.931678
           4.41      -0.830505      -0.557011       -1.77398      -0.888442
